"Abbreviation","Remedy Name","Mental_Emotional_Themes","General_Themes","Key_Local_Symptoms","Worse_From","Better_From","Notes_Sphere"
"AGAV-A","Agave americana","Irritable and low-spirited; may feel poisoned, overworked or very run-down","Acts on blood, gums and lower limbs with scurvy-like picture; also touches urinary and sexual organs","Stomachache with poor appetite and constipation; painful erections in gonorrhoeal states; burning urethral symptoms and strangury; scurvy-type signs with pale face, swollen bleeding gums and legs covered with dark-purple, hard, painful blotches; general weakness and heaviness in limbs","Standing or walking; sexual excess; poor hygiene and nutrition","Rest; better hygiene and improved diet (supportive)","A rare remedy showing gastric upset plus scurvy or vascular changes with some gonorrhoeal urinary symptoms"
"AGN","Agnus castus","Melancholy and hypochondriacal mood; fear of impending illness or death; loss of self-confidence with mental dullness and forgetfulness","Acts strongly on the sexual sphere in both sexes; picture of premature old age from sexual excess or abuse with profound exhaustion","Impotence with absence of erections and sexual desire; genitals cold and flaccid; history of repeated gonorrhoea with lingering weakness; in women, decreased libido, scanty menses and sometimes agalactia (poor milk flow) with sadness; gnawing itching of eyes and body; occasional sprain or strain complaints","Sexual excess or long-standing sexual strain; dwelling on sexual failure; depression","Emotional support; relief from sexual over-stimulation and strain (general)","Classic remedy for sexual debility with mental and nervous exhaustion, especially in men"
"AGRA","Agraphis nutans","Sluggish, tired children; tendency to droop physically and mentally","Pronounced catarrhal remedy with relaxed tissues and proneness to colds; reacts to cold winds with repeated ENT issues","Obstruction of nostrils from adenoids, leading to mouth-breathing; recurrent sore throats and tonsillar enlargement; chronic throat catarrh; throat deafness from Eustachian catarrh; general tendency to glandular swelling in throat and neck","Exposure to cold winds; damp, chilly weather; getting chilled after heat or exertion","Shelter; warm, dry environment; careful protection of throat and head","Often thought of in children with adenoids, chronic nasal blockage and throat deafness"
"AIL","Ailanthus glandulosa","Dull, stuporous, half-conscious states with muttering or low delirium; great anxiety in toxic fevers; may be indifferent, difficult to rouse","Low, septic, zymotic states such as malignant throat infections and toxic scarlatina-type pictures; rapid sinking, great prostration, offensive discharges","Dusky, mottled, livid rash that may be imperfect or receding; throat dark, swollen, with foul, ulcerated or sloughing patches and very offensive breath; thin, dark, sometimes bloody discharges from nose or throat; profound weakness out of proportion to local signs","Malignant scarlet-fever or diphtheria-type illnesses; septic blood states; rapid exhaustion from toxemia","Cool fresh air in a well-ventilated room; careful fluid support and nursing (general support, not remedy-specific)","Picture of collapse in malignant scarlatina, diphtheria and septic states with dusky rash, foul ulceration and great prostration"
"ALET","Aletris farinosa","Tired, despondent, especially worn-out women; mental and physical weariness with little endurance; feels unable to cope","Marked anaemia and relaxation of the female organism; chronic weakness with uterine debility and tendency to prolapse or miscarriage; general lack of tone","Great uterine weakness with bearing-down in pelvis and small of back; tendency to repeated miscarriages; leucorrhoea with exhaustion; want of appetite, least food distends the stomach; faint, weak spells in connection with menstrual or uterine disorders","Exertion; pregnancy or menstruation; uterine strain; loss of blood","Rest; lying down; careful nourishment and support (general); improvement of anaemic state","Female remedy for anaemic, relaxed states with uterine debility, prolapsus and tendency to abortions, especially when weakness and gastric distension accompany pelvic complaints"
"ALF","Alfalfa (Medicago sativa)","Low, depressed mood from exhaustion; nervousness, neurasthenia; feels run down but revives as nutrition improves","Acts on nutrition via the sympathetic system; tones appetite and digestion, improving mental and physical vigor with gain in weight; useful in malnutrition, nervous exhaustion, convalescence","Improves appetite with better assimilation; gradual weight gain in thin, undernourished patients; helps deficient lactation, increasing quality and quantity of milk in nursing mothers; may lessen urinary phosphates or excessive urine in some cases","Overwork, worry, insomnia and poor diet; prolonged illness leading to wasting","Rest; good food; regular small meals; supportive environment (general); remedy helps restore nutrition and vitality","Nutritive tonic-type remedy for malnutrition, nervous exhaustion, underweight and deficient lactation, helping rebuild strength and weight"
"ALL-C","Allium cepa","Irritable, dull and heavy during coryza; may feel confused and unable to think; children fretful with colds","Acute catarrhal remedy; especially colds in damp cold weather; strong tendency to watery coryza and laryngeal irritation","Copious, acrid, burning nasal discharge that excoriates the upper lip, with bland, watery eye discharge; frequent sneezing; nose and upper lip raw and sore; cough or laryngitis worse in warm room, better in open air; neuralgic pains like a fine thread along nerves after injuries or amputations","Warm room; evening; being indoors; damp cold exposures that start coryza","Open, cool air; moving about outside; gentle fresh air in the room","Acute remedy for colds, hay fever and laryngeal catarrh with acrid nasal, bland eye discharge and marked aggravation in warm room, relief in open air"
"ALL-S","Allium sativum","Often gloomy or despondent from chronic digestive troubles; may be irritable and oversensitive about health; can be obsessed with food or digestion","Acts strongly on intestinal mucous membranes, increasing peristalsis; suits fleshy, high-living, meat-eating subjects with dyspepsia, colitis and catarrhal states; also touches circulation and respiration","Great hunger yet weak digestion; slightest dietary error upsets digestion; burning eructations and gastric pains; colicky, distended abdomen with noisy flatus; tendency to chronic intestinal catarrh or colitis; chest complaints and cough often aggravated after eating; sometimes used in low blood pressure and vascular weakness","Overeating, especially meat and rich foods; bad water; errors of diet; cold damp exposure in weakened subjects","Sitting bent forward pressing with hands over epigastrium; simple, light food; avoiding heavy meat and alcohol (general diet measures)","Digestive and intestinal remedy for high-living, meat-eating patients with chronic dyspepsia, colitis and catarrhal states, sometimes with circulatory or chest involvement"
"ALN","Alnus rubra","Low-spirited, chronically ailing; may feel dragged down by long-standing skin or glandular problems","Chronic, scrofulous states; alterative action on skin, glands and mucous membranes; used where nutrition and elimination are sluggish","Chronic skin eruptions and glandular enlargements in scrofulous constitutions; leucorrhoea with erosions of cervix that bleed easily; amenorrhoea with burning pains from back to pubes; occasional urinary issues such as haematuria or gravel","Cold, damp climate; chronic neglect of health; suppression of eruptions or discharges","Warmth; open outlets for chronic discharges under supervision; long-term constitutional care","Chronic alterative remedy for scrofulous skin eruptions, glandular swellings and pelvic mucous membrane problems, sometimes as a follow-on where Phosphorus seems indicated but incomplete"
"ALOE","Aloe socotrina","Dissatisfied, easily angered about his complaints; may be indolent, weary, averse to mental or physical effort; hypochondriacal with much focus on rectum and abdomen","Acts on portal system, liver and rectum; marked venous congestion in pelvic and portal circulation; suits lax, sluggish, sedentary people, often with abdominal fullness and haemorrhoids","Constant sense of uncertainty in rectum: cannot trust flatus, may pass stool with gas; sudden urging to stool, must hurry, with gurgling and much flatus; stools often watery, jelly-like or mixed with mucus; large, hot, sore haemorrhoids that protrude and are very tender; fullness, heat and weight in lower abdomen and pelvis","Early morning (about 5 a.m.) urging; after eating or drinking; standing or walking; heat; sedentary habits","Cool applications; lying down; after evacuation of bowels (temporarily)","Rectal and portal-congestion remedy par excellence, with early-morning diarrhoea, insecurity of rectum, abdominal fullness and large, painful haemorrhoids in sluggish, sedentary patients"
"ALST-S","Alstonia scholaris","Listless, indifferent and depressed from chronic weakness and diarrhoea; irritable and anxious about health when attacks recur; mental apathy from malarial cachexia and loss of fluids","Marked action on mucous membranes of stomach and intestines; chronic diarrhoea and dysentery with great debility and anaemia; after-effects of malarial fever or abuse of quinine; weakness and sinking at stomach with loss of appetite and weight","Diarrhoea with loose, foetid, gushing stools, often worse after eating or drinking; frequent, painless evacuations with great prostration and sinking at epigastrium; enlarged, tender spleen in malarial subjects; tongue coated with bad taste; abdomen distended with flatus and rumbling","After eating or drinking; cold food or drinks; damp, marshy climates; night and early morning; during or after malarial attacks; long-continued diarrhoea","Rest; warm drinks and simple food; dry, warm climate; lying quietly after stool","Gastro-intestinal and malarial sphere; chronic diarrhoea, dysentery and post-malarial weakness with anaemia, enlarged spleen and profound prostration from loss of fluids or quinine abuse"
"ABR","Abrus precatorius","No very marked mental keynote given; may be irritable or anxious from chronic eye disease and disfigurement","Acts chiefly on eyes and skin; produces intense local inflammation, ulceration and granuloma formation; useful in chronic destructive conditions of lids and adjacent tissues","Epithelioma, lupus and chronic ulceration affecting skin and mucosa; granular lids with intense redness and thickening; purulent conjunctivitis where inflammation may spread to face and neck; granular ophthalmia and keratitis with marked photophobia and discharge","Exposure to irritants; neglected eye disease; local misuse or overuse of strong applications","Gentle local care; protection of eyes from light and wind; appropriate ophthalmic supervision (general support)","Primarily an ophthalmic and dermatologic remedy for epithelioma, lupus, ulcers and granular lids with purulent conjunctivitis extending to face and neck"
"ABSIN","Absinthium","Hallucinations, frightful visions, kleptomania; loss of memory for recent events; wants nothing to do with anybody and may be brutal or violent; marked nervous excitement and sleeplessness","Produces a perfect picture of epileptiform seizures; strong action on brain and spinal cord with cerebral irritation, spasms and convulsions; nervousness and tremors, especially in children or after toxic influences (e.g. mushrooms, alcohol)","Nervous tremors preceding epileptiform attacks; sudden severe vertigo with tendency to fall backward; jaws fixed, bites tongue, foaming, blue face during spasms; bloated abdomen with flatulent colic; constant desire to urinate with strong-smelling, deep-yellow urine; sense of heart thumping, action heard in back","Cold air; checked secretions; toxic or exciting influences (alcohol, mushrooms, emotional strain)","Motion often relieves flatulent colic; warm, quiet environment; careful removal of exciting causes (supportive)","Remedy for epileptiform seizures, spasms and nervous excitement with hallucinations, loss of memory and post-ictal confusion; also used in nervous children with tremors and sleeplessness"
"ACAL","Acalypha indica","Mentally dull and weak from chronic illness; may be anxious or low from persistent cough and haemorrhage","Marked action on alimentary canal and respiratory organs; indicated in incipient phthisis with progressive emaciation, great morning weakness and haemorrhages, but often little or no fever","Hard, racking cough with bright red, frothy or dark haemoptysis, especially in early tuberculosis; haemorrhage from lungs or bowels, typically worse in morning; great weakness on rising, gaining some strength as day advances; diarrhoea or other pathological haemorrhages with notable morning aggravation","Morning (especially on waking); exertion; chill or damp in delicate, consumptive patients","Relative rest; warm, dry air; cautious management of exertion and exposure (general)","Haemorrhagic and early-phthisis remedy with morning-worse cough and bleeding, great morning weakness, progressive emaciation and action on lungs and bowel"
"ACET-AC","Aceticum acidum","Anxious, weak, often despondent from profound debility and wasting; may be restless or fearful in advanced disease states","Produces profound anaemia and debility with emaciation and oedema; acts on blood, stomach, intestines and kidneys; shows hectic fever, drenching night sweats and dropsical tendencies in advanced chronic disease","Intense thirst for large quantities of cold water; sour eructations and vomiting with burning from stomach to throat; chronic diarrhoea with wasting; oedema of face and limbs or general dropsy; hectic flush with red spot on one cheek and profuse night sweats; dyspnoea with sense of sinking in abdomen, rests easier lying on belly","Exhausting diseases (cancer, diabetes, chronic diarrhoea, nephritis); loss of fluids (sweats, diarrhoea); deficient nutrition","Cool drinks may temporarily relieve burning; lying on abdomen may ease dyspnoea and sinking sensation; careful, frequent, small feedings (general support)","Deep-acting remedy for profound anaemia, emaciation and dropsy with great thirst, sour vomiting, chronic diarrhoea and hectic fever in advanced or cachectic states"
"ACETAN","Acetanilidum","Faintness with a strange enlarged sensation of the head; may feel mentally unsteady or morally “off” in toxic states; anxious or collapsed from circulatory weakness","Strong depressing action on heart, respiration and blood-pressure; lowers temperature; increases susceptibility to cold; destroys red blood corpuscles leading to pallor, cyanosis and collapse","Enlarged, “huge” head sensation with tendency to faint; pallor and cyanosis of face and lips; weak, irregular heart with blue mucous membranes; albuminuria with oedema of feet and ankles; eyes show pallor of optic discs, contracted visual field, shrinking retinal vessels and dilated pupils","Cold exposure; exertion when circulation is weak; previous drug or toxic overuse (antipyretics etc.) as a maintaining cause","Rest; warm, quiet environment; careful medical management of circulatory and blood issues (supportive)","Deep-acting remedy reflecting toxic/iatrogenic collapse with cyanosis, heart weakness and blood destruction; use reserved for skilled homeopathic and medical supervision, not casual self-prescribing"
"ACON","Aconitum napellus","Sudden intense anxiety and fear, especially fear of death, after shock, fright or exposure; restless, cannot sit still; predicts the exact hour of death and is sure they will die; mind focuses on present danger rather than past or future","Acute, violent onset of complaints after dry cold wind, shock or fright; high fevers with dry, hot skin and great thirst; marked vascular excitement and congestion; first stage of many inflammatory diseases before exudation","Sudden high fever with burning heat, red hot dry skin and great thirst; intense restlessness, tossing about in anguish; palpitations and tightness of chest with fear of suffocation; neuralgic or rheumatic pains that are acute, stitching and intolerable; croupy or bronchial attacks shortly after exposure to cold dry wind","Sudden shock or fright; exposure to dry cold wind or drafts; night, especially before midnight; strong emotions, excitement or fear; being in a warm, stuffy room","Rest in a quiet, cool room; open fresh air; gentle reassurance and company; perspiration breaking out; lying with head raised","Acute nervous and vascular sphere; early stages of sudden inflammatory or febrile illnesses with high fever, great restlessness and intense fear after shock, trauma or cold exposure"
"ALUMN","Alumen","Dullness and mental paresis; slow to comprehend or respond; may feel apathetic or weakened in mind along with bodily paralysis or constriction","Acts on mucous membranes and muscles with marked dryness, constriction and tendency to induration; especially affects bowels, rectum, throat and old people with chronic catarrhs","Constipation of the most obstinate kind: no desire for stool for days, violent ineffectual urging, no power to expel, hard marble-like masses yet rectum still feels full; itching and smarting in anus with haemorrhoids; haemorrhage from bowels in typhoid or low states; burning weight on top of head; throat relaxed, red, swollen with enlarged indurated tonsils, frequent throat colds and constriction of oesophagus, especially to liquids","Cold; catching repeated colds that settle in throat; long sitting and inactivity; low fevers and debilitating diseases","Warmth; gentle pressure on head; regular, carefully managed bowel habits (general); constitutional treatment over time","Deep-acting remedy for obstinate constipation with rectal inertia and haemorrhage, dryness and constriction of mucous membranes, and tendency to induration of tongue, rectum, uterus, especially in old or debilitated patients"
"AMBR","Ambra grisea","Excessively shy, embarrassed and self-conscious; cannot perform natural functions in presence of others (stool, urine, cough, etc.); nervous, easily excited by company or music; sleepless from crowding thoughts","Great nervous weakness in thin, delicate, often elderly or prematurely aged people; hysterical and spasmodic tendencies; over-sensitivity to external impressions like music or conversation","Dry, hacking, nervous cough worse when others are listening or in company; asthma or dyspnoea in presence of others or on talking; constipation with hard, crumbling stool passed with much difficulty; tendency to spasms, twitching, and trembling from the least emotion","Company, especially strangers; music; talking; after sleep; mental excitement","Gentle motion in open air; being alone; quiet surroundings","Nervous remedy for shy, bashful, over-sensitive patients (often elderly or prematurely aged) with cough, asthma or bowels aggravated by embarrassment and presence of others"
"AMBRO","Ambrosia artemisiaefolia","Irritable, miserable during hay-fever season; cannot focus because of incessant sneezing and eye/nose irritation","Strong hay-fever remedy; acts on mucous membranes of eyes, nose and chest; late summer and autumn allergies, especially ragweed-type","Violent, almost constant sneezing; profuse, watery, burning coryza; intense itching, burning and watering of eyes; nose and upper lip excoriated; asthmatic breathing or tight chest during attacks; may have urticarial or itchy skin eruptions with the coryza","Exposure to pollen, dust and late-summer air; being outdoors in ragweed season; night and early morning","Staying indoors away from pollen; washing eyes and nose with cool water; cool, clean air (general)","Key remedy for hay fever and ragweed-type allergies with violent sneezing, burning coryza, itching eyes and sometimes associated asthma or nettle-rash"
"AMMC","Ammoniacum gummi","Irritable, drowsy and oppressed from chronic chest trouble; feels smothered and weighed down","Acts on bronchial mucous membranes and lungs; especially chronic bronchitis and asthma in old or weak patients; mucus tough, gluey, difficult to raise","Chronic bronchial catarrh with abundant, thick, tenacious mucus forming plugs that are hard to expectorate; rattling in chest yet little comes up; shortness of breath, oppression and suffocative attacks, especially in elderly or emphysematous patients","Cold, damp air; fog; lying down; exertion that increases breathing effort","Sitting up and leaning forward; warmer, drier air; gradual expectoration of mucus","Respiratory remedy for chronic bronchitis, asthma and emphysema with tough, gluey mucus, oppression of chest and great difficulty in expectoration, especially in older people"
"AM-BE","Ammonium benzoicum","Irritable, depressed, tired from chronic gouty or urinary trouble; may feel old and worn-out before time","Acts on kidneys, joints and heart; uric-acid and gouty states with offensive urine and cardiac symptoms; rheumatic and gouty heart disease","Urine dark, brownish, very strong-smelling (like that of a horse); gouty, swollen and painful joints; wandering rheumatic pains; dyspnoea or palpitation in gouty subjects; sometimes oedema around ankles with heart involvement","Cold, damp weather; exertion; suppression of gout or eruptions; dietary excesses that increase uric acid","Rest; warmth; free action of kidneys and skin (general)","Gouty-kidney-heart remedy with very offensive, dark urine, gouty and rheumatic joints and cardiac dyspnoea in uric-acid subjects"
"AM-BR","Ammonium bromatum","Nervous, excitable, easily startled; anxious from suffocative attacks or chronic respiratory trouble","Acts on larynx, trachea and mucous membranes; spasmodic and catarrhal affections; useful in croupy or whooping cough type states with much mucus and laryngeal irritation","Spasmodic, barking or croupy cough, especially at night; great laryngeal irritation with hoarseness or loss of voice; tough, stringy mucus in larynx and trachea; attacks of suffocation with cyanosis in children; sometimes acne or pustular eruptions in bromine-sensitive patients","Night; cold air on throat; talking; excitement; lying down","Sitting up; warm drinks; steam inhalation (general relief)","Laryngeal and respiratory remedy for spasmodic, croupy coughs and laryngeal irritation with tough mucus and threatening suffocation, especially at night in children"
"AM-C","Ammonium carbonicum","Anxious, irritable, easily offended; depressed, weary of life but fears death; great aversion to exertion or effort; confused, sleepy, sluggish mind","Profound weakness with venous stasis, cyanosis and tendency to asphyxia; fat, flabby, chilly patients who easily collapse from slight exertion; great sensitivity to cold and damp; imperfect oxidation of blood","Shortness of breath and palpitation on the least exertion or going upstairs; must have window open yet feels chilly; tendency to nosebleed or epistaxis; bluish lips and face; fainting in closed rooms or from washing; early, profuse, dark, clotted menses with weakness; swollen glands and slow ulceration of skin","Cold, damp weather; slightest exertion; ascending stairs; washing or bathing; being in a warm, stuffy room","Warm, dry air; lying quietly; open, cool air in moderation; gentle stimulation (smelling salts, etc.)","Deep-acting remedy for weak, flabby, chilly patients with asphyxic tendencies, dyspnoea on slight exertion, venous stasis, early exhausting menses and faintness in closed or heated rooms"
"AM-CAUST","Ammonium causticum","Anxious, fearful, restless in acute attacks; may feel he is suffocating or will choke; mind dull in severe poisoning-type states","Caustic, corrosive action on mucous membranes of mouth, throat, larynx and oesophagus; intense burning, swelling and danger of necrosis; also affects kidneys and circulation with great prostration","Violent burning from mouth to stomach; painful, oedematous throat and larynx with danger of oedema glottidis; extreme hoarseness or complete aphonia; difficult or impossible swallowing, especially of liquids; strangling, suffocative attacks; albuminous urine with kidney irritation after caustic injuries","Cold air on throat; attempts to swallow, especially liquids; sudden exertion; inhaling irritant fumes","Warmth to throat and chest; absolute rest; careful, slow sips if swallowing possible (supportive)","Severe caustic-chemical remedy for intense burning and oedema of throat and larynx, aphonia and danger of suffocation after caustic injuries or laryngitis—strictly under medical supervision"
"AM-I","Ammonium iodatum","Anxious, restless, often depressed from chronic glandular or chest disease; may be irritable and driven","Strong action on glands, respiratory tract and heart; scrofulous, syphilitic or tubercular constitutions with enlarged glands and chronic catarrhs; wasting despite fairly good appetite","Chronic nasal and bronchial catarrh with profuse, acrid, irritating discharge; hoarseness and laryngeal catarrh in speakers and singers; enlarged cervical and other glands, sometimes goitre; emaciation with night sweats; heart irritability with palpitations in chronic chest sufferers","Cold, damp air; drafts; overuse of voice; exertion in chest cases","Warm, dry air; moderate gentle exercise in open air; perspiration (general)","Chronic glandular and respiratory remedy for scrofulous or tubercular patients with enlarged glands, acrid catarrhs, hoarseness and wasting, often with irritable heart"
"AM-M","Ammonium muriaticum","Sad, discouraged, very sensitive to criticism; feels isolated or slighted; may brood over troubles silently","Acts markedly on mucous membranes, liver and portal system; fat, sluggish, catarrhal subjects, often women with pelvic and haemorrhoidal troubles; tendency to hardened glands and secretions","Chronic nasal catarrh with blocked nose at night and thick, gluey, difficult mucus by day; much postnasal dropping; cough with great rattling yet difficult expectoration; large, sore haemorrhoids with burning and smarting; sciatica or stiffness in limbs, worse sitting and at rest, better walking; menstrual irregularities with pelvic congestion","Sitting still; rest; damp, cold weather; early morning; rich food","Walking about; continued gentle motion; warm, dry surroundings","Catarrhal-portal remedy for fat, sluggish women with chronic nasal and bronchial catarrh, haemorrhoids, pelvic congestion and sciatic or stiff pains worse sitting, better walking"
"AM-P","Ammonium phosphoricum","Irritable, despondent, mentally tired; worries about chronic joint or nerve troubles; may be indifferent from long suffering","Acts on joints, nerves and metabolism; uric-acid and gouty states; nodosities and deposits about joints; also on spinal nerves and sciatic pains","Gouty and rheumatic arthritis with nodosities, stiffness and cracking in joints; chalky or uric-acid deposits; sciatica (often right-sided) with sharp, shooting pains down limb; thick, stringy mucus in throat or chest; obesity with weakness in gouty constitutions","Cold, damp weather; exertion; dietary excesses (meat, alcohol) that increase uric acid; getting chilled","Warmth; rest; light, non-stimulating diet; gentle stretching and movement once acute pain subsides","Gouty-rheumatic remedy for uric-acid constitutions with nodular joints, sciatica and thick, stringy catarrh, often in overweight but weak patients"
"AM-PIC","Ammonium picricum","Mentally dull, heavy and tired; nervous, irritable from prolonged study or overwork; feels brain-fagged and worn out","Acts chiefly on brain, spine and blood in malarial and neuralgic states; suited to students, overworked persons and those with malarial influences; produces bilious and congestive headaches","Severe bilious or malarial headaches located in occiput and mastoid region, often extending over head; headaches from mental exertion or hot sun; neuralgic pains and malarial neuralgia; whooping-cough with marked head symptoms","Mental overwork and prolonged study; hot sun or heat; malarial influences; exertion during convalescence","Rest from mental work; cool applications to head; open, fresh air","Remedy for malarial fever and neuralgias, especially bilious occipital headaches from overwork or sun, in worn-out, brain-fagged patients"
"AM-VAL","Ammonium valerianicum","Highly nervous, hysterical, easily excited; insomnia from nervous erethism; sensitive, irritable and restless","Acts on nervous system and heart; remedy for nervous, hysterical people with neuralgic headaches, insomnia and functional tachycardia","Neuralgic headaches with great nervous agitation; insomnia from nervous excitement; palpitation and functional heart disturbance, tachycardia, especially in nervous women; fluttering and precordial anxiety without structural heart disease","Emotional excitement; mental strain; noise; rich food or stimulants in sensitive subjects","Quiet, dark room; rest; gentle reassurance and regulation of lifestyle (general)","Nervous and cardiac remedy for hysterical, highly strung patients with neuralgic headaches, insomnia and functional palpitations or tachycardia"
